expression,reading
~ちゃん,~ちゃん
打つ,うつ
あんな,あんな
謝る,あやまる
昼間,ひるま
教育,きょういく
女性,じょせい
米,こめ
邪魔,じゃま
国際,こくさい
隅,すみ
伺う,うかがう
再来週,さらいしゅう
夢,ゆめ
喉,のど
最近,さいきん
周り,まわり
歴史,れきし
不便,ふべん
血,ち
~続ける,~つづける
毛,け
ひどい,ひどい
例えば,たとえば
中々,なかなか
随分,ずいぶん
~やすい,~やすい
押し入れ,おしいれ
電灯,でんとう
叱る,しかる
サンダル,サンダル
びっくりする,びっくりする
うまい,うまい
変える,かえる
講堂,こうどう
子,こ
沸かす,わかす
レジ,レジ
しばらく,しばらく
特に,とくに
空く,あく
計画,けいかくする
通り,とおり
下着,したぎ
経済,けいざい
こう,こう
是非,ぜひ
裏,うら
為,ため
おいでになる,おいでになる
変わる,かわる
以外,いがい
済む,すむ
ハンバーグ,ハンバーグ
市,し
引き出し,ひきだし
遊び,あそび
支度,したくする
~始める,~はじめる
見える,みえる
十分,じゅうぶん
音,おと
きっと,きっと
まず,まず
遠く,とおく
大体,だいたい
折れる,おれる
正しい,ただしい
輸入,ゆにゅう
返事,へんじ
都,と
産業,さんぎょう
伝える,つたえる
お金持ち,かねもち; おかねもち
説明,せつめい
島,しま
道具,どうぐ
滑る,すべる
それほど,それほど
以上,いじょう
~まま,~まま
特急,とっきゅう
プレゼント,プレゼント
~(に) よると,~(に) よると
妻,つま
帰り,かえり
具合,ぐあい
堅; 硬; 固い,かたい
駐車場,ちゅうしゃじょう
スーツ,スーツ
危険,きけん
髪,かみ
天気予報,てんきよほう
彼女,かのじょ
間,あいだ
卒業,そつぎょう
それで,それで
枝,えだ
専門,せんもん
そろそろ,そろそろ
送る,おくる
あげる,あげる
騒ぐ,さわぐ
尋ねる,たずねる
放送,ほうそうする
政治,せいじ
市民,しみん
ファックス,ファックス
負ける,まける
指輪,ゆびわ
田舎,いなか
見つける,みつける
高校生,こうこうせい
講義,こうぎ
そんなに,そんなに
昼休み,ひるやすみ
忘れ物,わすれもの
下りる,おりる
腕,うで
訳,わけ
承知,しょうちする
日記,にっき
高校; 高等学校,こうこう; こうとうがっこう
似る,にる
~おわる,~おわる
暖房,だんぼう
留守,るす
割合,わりあい
寺,てら
慣れる,なれる
普通,ふつう
手伝う,てつだう
なるほど,なるほど
くださる,くださる
息子,むすこ
お子さん,おこさん
会場,かいじょう
笑う,わらう
運ぶ,はこぶ
文学,ぶんがく
光,ひかり
お見舞い,おみまい
席,せき
~様,~さま
ご存じ,ごぞんじ
下る,さがる
字,じ
アジア,アジア
褒める,ほめる
空く,すく
あ,あ
最も,もっとも
合う,あう
~代,~だい
最後,さいご
値段,ねだん
退院,たいいんする
展覧会,てんらんかい
久しぶり,ひさしぶり
カーテン,カーテン
汽車,きしゃ
遅れる,おくれる
見つかる,みつかる
召し上がる,めしあがる
太る,ふとる
注射,ちゅうしゃ
様,よう
~おき,~おき
最初,さいしょ
御~,ご~
安心,あんしん
直る,なおる
集める,あつめる
直す,なおす
続く,つづく
先輩,せんぱい
約束,やくそく
世話,せわする
近所,きんじょ
将来,しょうらい
億,おく
数学,すうがく
文化,ぶんか
払う,はらう
習慣,しゅうかん
焼ける,やける
君,きみ
冷える,ひえる
点く,つく
この間,このあいだ
かっこう,格好
続ける,つづける
落す,おとす
明日,あす
出発,しゅっぱつする
拝見,はいけんする
割れる,われる
背中,せなか
新聞社,しんぶんしゃ
いじめる,いじめる
回る、回す,まわる、まわす
~君,~くん
おっしゃる,おっしゃる
眠い,ねむい
濡れる,ぬれる
倒れる,たおれる
スーパー (マーケット),スーパー (マーケット)
アクセサリー,アクセサリー
考える,かんがえる
向かう,むかう
自由,じゆう
仕方,しかた
首,くび
程,ほど
代わり,かわり
失敗,しっぱい
工業,こうぎょう
移る,うつる
スーツケース,スーツケース
ひげ,ひげ
研究室,けんきゅうしつ
工場,こうじょう
紹介,しょうかい
けれど; けれども,けれど; けれども
舟,ふね
動く,うごく
~(に) ついて,~(に) ついて
コンサート,コンサート
虫,むし
優しい,やさしい
コンピュータ; コンピューター,コンピュータ; コンピューター
植える,うえる
両方,りょうほう
汚れる,よごれる
水泳,すいえい
経験,けいけんする
勝つ,かつ
砂,すな
警察,けいさつ
取り替える,とりかえる
急ぐ,いそぐ
簡単,かんたん
参る,まいる
全然,ぜんぜん
特別,とくべつ
復習,ふくしゅう
間に合う,まにあう
役に立つ,やくにたつ
もうすぐ,もうすぐ
真中,まんなか
戻る,もどる
研究,けんきゅう
ケーキ,ケーキ
草,くさ
込む,こむ
この頃,このごろ
訪ねる,たずねる
下げる,さげる
花見,はなみ
途中,とちゅう
入院,にゅういんする
乗り換える,のりかえる
別れる,わかれる
~町,~ちょう
安全,あんぜん
看護婦,かんごふ
見物,けんぶつ
相談,そうだんする
ガソリンスタンド,ガソリンスタンド
テニス,テニス
眠る,ねむる
上がる,あがる
翻訳,ほんやく
食事,しょくじする
おかげ,お陰
娘,むすめ
湯,ゆ
競争,きょうそう
会議,かいぎ
湖,みずうみ
集まる,あつまる
~にくい,~にくい
生活,せいかつする
糸,いと
関係,かんけい
ピアノ,ピアノ
~目,~め
番組,ばんぐみ
急,きゅう
棚,たな
木綿,もめん
輸出,ゆしゅつする
タイプ,タイプ
すり,すり
うれしい,嬉しい
アルコール,アルコール
ソフト,ソフト
神社,じんじゃ
大分,だいぶ
楽しみ,たのしみ
趣味,しゅみ
電報,でんぽう
家内,かない
指,ゆび
これから,これから
たまに,たまに
社会,しゃかい
