expression,reading
ああ,ああ
会う,あう
青,あお
青い,あおい
赤,あか
赤い,あかい
明るい,あかるい
秋,あき
開く,あく
開ける,あける
上げる,あげる
朝,あさ
朝御飯,あさごはん
明後日,あさって
足; 脚,あし
明日,あした
あそこ,あそこ
遊ぶ,あそぶ
暖かい,あたたかい
頭,あたま
新しい,あたらしい
あちら,あちら
暑い,あつい
熱い,あつい
厚い,あつい
あっち,あっち
後,あと
あなた,あなた
兄,あに
姉,あね
アパート,アパート
あの,あの
浴びる,あびる
危ない,あぶない
甘い,あまい
余り,あまり
雨,あめ
飴,あめ
洗う,あらう
在る,ある
有る,ある
歩く,あるく
あれ,あれ
いい; よい,いい; よい
いいえ,いいえ
言う,いう
家,いえ
いかが,いかが
行く,いく; ゆく
いくつ,いくつ
いくら,いくら
池,いけ
医者,いしゃ
椅子,いす
忙しい,いそがしい
痛い,いたい
一,いち
一日,いちにち
一番,いちばん
いつ,いつ
五日,いつか
一緒,いっしょ
五つ,いつつ
いつも,いつも
犬,いぬ
今,いま
意味,いみ
妹,いもうと
嫌,いや
入口,いりぐち
居る,いる
要る,いる
入れる,いれる
色,いろ
色々,いろいろ
上,うえ
後ろ,うしろ
薄い,うすい
歌,うた
歌う,うたう
うち,うち
生まれる,うまれる
海,うみ
売る,うる
うるさい,うるさい
上着,うわぎ
絵,え
映画,えいが
映画館,えいがかん
英語,えいご
ええ,ええ
駅,えき
エレベーター,エレベーター
~円,~えん
鉛筆,えんぴつ
お~,お~
美味しい,おいしい
多い,おおい
大きい,おおきい
大きな,おおきな
大勢,おおぜい
お母さん,おかあさん
お菓子,おかし
お金,おかね
起きる,おきる
置く,おく
奥さん,おくさん
お酒,おさけ
お皿,おさら
伯父; 叔父さん,おじさん
おじいさん,おじいさん
教える,おしえる
押す,おす
遅い,おそい
お茶,おちゃ
お手洗い,おてあらい
お父さん,おとうさん
弟,おとうと
男,おとこ
男の子,おとこのこ
一昨日,おととい
おととし,おととし
大人,おとな
お腹,おなか
同じ,おなじ
お兄さん,おにいさん
お姉さん,おねえさん
伯母さん; 叔母さん,おばさん
おばあさん,おばあさん
お風呂,おふろ
お弁当,おべんとう
覚える,おぼえる
おまわりさん,おまわりさん
重い,おもい
面白い,おもしろい
泳ぐ,およぐ
降りる,おりる
終る,おわる
音楽,おんがく
女,おんな
女の子,おんなのこ
~回,~かい
~階,~かい
外国,がいこく
外国人,がいこくじん
会社,かいしゃ
階段,かいだん
買い物,かいもの
買う,かう
返す,かえす
帰る,かえる
顔,かお
かかる,かかる
鍵,かぎ
書く,かく
学生,がくせい
~か月,~かげつ
掛ける,かける
かける,かける
傘,かさ
貸す,かす
風,かぜ
風邪,かぜ
方,かた
家族,かぞく
片仮名,かたかな
~月,~がつ
学校,がっこう
カップ,カップ
家庭,かてい
角,かど
かばん,かばん
花瓶,かびん
かぶる,かぶる
紙,かみ
カメラ,カメラ
火曜日,かようび
辛い,からい
体,からだ
借りる,かりる
~がる,~がる
軽い,かるい
カレー,カレー
カレンダー,カレンダー
川; 河,かわ
~側,~がわ
可愛い,かわいい
漢字,かんじ
木,き
黄色,きいろ
黄色い,きいろい
消える,きえる
聞く,きく
北,きた
ギター,ギター
汚い,きたない
喫茶店,きっさてん
切手,きって
切符,きっぷ
昨日,きのう
九,きゅう
牛肉,ぎゅうにく
牛乳,ぎゅうにゅう
今日,きょう
教室,きょうしつ
兄弟,きょうだい
去年,きょねん
嫌い,きらい
切る,きる
着る,きる
綺麗,きれい
キロ; キログラム,キロ; キログラム
キロ; キロメートル,キロ; キロメートル
銀行,ぎんこう
金曜日,きんようび
九,く
薬,くすり
下さい,ください
果物,くだもの
口,くち
靴,くつ
靴下,くつした
国,くに
曇り,くもり
曇る,くもる
暗い,くらい
~くらい; ぐらい,~くらい; ぐらい
クラス,クラス
グラム,グラム
来る,くる
車,くるま
黒,くろ
黒い,くろい
警官,けいかん
今朝,けさ
消す,けす
結構,けっこう
結婚,けっこん (する)
月曜日,げつようび
玄関,げんかん
元気,げんき
~個,~こ
五,ご
~語,~ご
公園,こうえん
交差点,こうさてん
紅茶,こうちゃ
交番,こうばん
声,こえ
コート,コート
コーヒー,コーヒー
ここ,ここ
午後,ごご
九日,ここのか
九つ,ここのつ
午前,ごぜん
答える,こたえる
こちら,こちら
こっち,こっち
コップ,コップ
今年,ことし
言葉,ことば
子供,こども
この,この
御飯,ごはん
コピーする,コピーする
困る,こまる
これ,これ
~ころ; ~ごろ,~ころ; ~ごろ
今月,こんげつ
今週,こんしゅう
こんな,こんな
今晩,こんばん
さあ,さあ
~歳,~さい
財布,さいふ
魚,さかな
先,さき
咲く,さく
作文,さくぶん
差す,さす
~冊,~さつ
雑誌,ざっし
砂糖,さとう
寒い,さむい
さ来年,さらいねん
~さん,~さん
三,さん
散歩,さんぽ (する)
四,し
~時,~じ
塩,しお
しかし,しかし
時間,じかん
~時間,~じかん
仕事,しごと
辞書,じしょ
静か,しずか
下,した
七,しち
質問,しつもん
自転車,じてんしゃ
自動車,じどうしゃ
死ぬ,しぬ
字引,じびき
自分,じぶん
閉まる,しまる
閉める,しめる
締める,しめる
じゃ; じゃあ,じゃ; じゃあ
写真,しゃしん
シャツ,シャツ
シャワー,シャワー
十,じゅう
~中,~じゅう
~週間,~しゅうかん
授業,じゅぎょう
宿題,しゅくだい
上手,じょうず
丈夫,じょうぶ
醤油,しょうゆ
食堂,しょくどう
知る,しる
白,しろ
白い,しろい
~人,~じん
新聞,しんぶん
水曜日,すいようび
吸う,すう
スカート,スカート
好き,すき
~すぎ,~すぎ
少ない,すくない
すぐに,すぐに
少し,すこし
涼しい,すずしい
~ずつ,~ずつ
ストーブ,ストーブ
スプーン,スプーン
スポーツ,スポーツ
ズボン,ズボン
住む,すむ
する,する
座る,すわる
背,せい
生徒,せいと
セーター,セーター
石鹸,せっけん
背広,せびろ
狭い,せまい
ゼロ,ゼロ
千,せん
先月,せんげつ
先週,せんしゅう
先生,せんせい
洗濯,せんたく
全部,ぜんぶ
そう; そうです,そう; そうです
掃除,そうじ (する)
そうして; そして,そうして; そして
そこ,そこ
そちら,そちら
そっち,そっち
外,そと
その,その
そば,そば
空,そら
それ,それ
それから,それから
それでは,それでは
~台,~だい
大学,だいがく
大使館,たいしかん
大丈夫,だいじょうぶ
大好き,だいすき
大切,たいせつ
台所,だいどころ
大変,たいへん
高い,たかい
~だけ,~だけ
沢山,たくさん
タクシー,タクシー
出す,だす
~たち,~たち
立つ,たつ
たて,たて
建物,たてもの
楽しい,たのしい
頼む,たのむ
たばこ,たばこ
多分,たぶん
食べ物,たべもの
食べる,たべる
卵,たまご
誰,だれ
誰か,だれか
誕生日,たんじょうび
段々,だんだん
小さい,ちいさい
小さな,ちいさな
近い,ちかい
違う,ちがう
近く,ちかく
地下鉄,ちかてつ
地図,ちず
父,ちち
茶色,ちゃいろ
茶碗,ちゃわん
~中,~ちゅう
丁度,ちょうど
ちょっと,ちょっと
一日,ついたち
使う,つかう
疲れる,つかれる
次,つぎ
着く,つく
机,つくえ
作る,つくる
つける,つける
勤める,つとめる
つまらない,つまらない
冷たい,つめたい
強い,つよい
手,て
テープ,テープ
テープレコーダー,テープレコーダー
テーブル,テーブル
出かける,でかける
手紙,てがみ
できる,できる
出口,でぐち
テスト,テスト
では,では
デパート,デパート
でも,でも
出る,でる
テレビ,テレビ
天気,てんき
電気,でんき
電車,でんしゃ
電話,でんわ
戸,と
~度,~ど
ドア,ドア
トイレ,トイレ
どう,どう
どうして,どうして
どうぞ,どうぞ
動物,どうぶつ
どうも,どうも
十,(〜を) とお
遠い,とおい
十日,とおか
~時,~とき
時々,ときどき
時計,とけい
どこ,どこ
所,ところ
年,とし
図書館,としょかん
どちら,どちら
どっち,どっち
とても,とても
どなた,どなた
隣,となり
どの,どの
飛ぶ,とぶ
止まる,とまる
友達,ともだち
土曜日,どようび
鳥,とり
鶏肉,とりにく
取る,とる
撮る,とる
どれ,どれ
どんな,どんな
ない,ない
ナイフ,ナイフ
中,なか
長い,ながい
鳴く,なく
無くす,なくす
なぜ,なぜ
夏,なつ
夏休み,なつやすみ
~など,~など
七つ,ななつ
何,なん; なに
七日,なのか
名前,なまえ
習う,ならう
並ぶ,ならぶ
並べる,ならべる
なる,なる
何~,なん~
二,に
にぎやか,にぎやか
肉,にく
西,にし
~日,~にち
日曜日,にちようび
荷物,にもつ
ニュース,ニュース
庭,にわ
~人,~にん
脱ぐ,ぬぐ
温い,ぬるい
ネクタイ,ネクタイ
猫,ねこ
寝る,ねる
~年,~ねん
ノート,ノート
登る,のぼる
飲み物,のみもの
飲む,のむ
乗る,のる
歯,は
パーティー,パーティー
はい,はい
~杯,~はい
灰皿,はいざら
入る,はいる
葉書,はがき
はく,はく
箱,はこ
橋,はし
箸,はし
始まる,はじまる
初め; 始め,はじめ
初めて,はじめて
走る,はしる
バス,バス
バター,バター
二十歳,はたち
働く,はたらく
八,はち
二十日,はつか
花,はな
鼻,はな
話,はなし
話す,はなす
母,はは
早い,はやい
速い,はやい
春,はる
貼る,はる
晴れ,はれ
晴れる,はれる
半,はん
晩,ばん
~番,~ばん
パン,パン
ハンカチ,ハンカチ
番号,ばんごう
晩御飯,ばんごはん
半分,はんぶん
東,ひがし
~匹,~ひき
引く,ひく
弾く,ひく
低い,ひくい
飛行機,ひこうき
左,ひだり
人,ひと
一つ,ひとつ
一月,ひとつき
一人,ひとり
暇,ひま
百,ひゃく
病院,びょういん
病気,びょうき
平仮名,ひらがな
昼,ひる
昼御飯,ひるごはん
広い,ひろい
フィルム,フィルム
封筒,ふうとう
プール,プール
フォーク,フォーク
吹く,ふく
服,ふく
二つ,ふたつ
豚肉,ぶたにく
二人,ふたり
二日,ふつか
太い,ふとい
冬,ふゆ
降る,ふる
古い,ふるい
~分,~ふん
文章,ぶんしょう
ページ,ページ
下手,へた
ベッド,ベッド
ペット,ペット
部屋,へや
辺,へん
ペン,ペン
勉強,べんきょう (する)
便利,べんり
帽子,ぼうし
ボールペン,ボールペン
外,ほか
ポケット,ポケット
欲しい,ほしい
ポスト,ポスト
細い,ほそい
ボタン,ボタン
ホテル,ホテル
本,ほん
~本,~ほん
本棚,ほんだな
本当,ほんとう
~枚,~まい
毎朝,まいあさ
毎月,まいげつ; まいつき
毎週,まいしゅう
毎日,まいにち
毎年,まいねん; まいとし
毎晩,まいばん
前,まえ
~前,~まえ
曲る,まがる
まずい,まずい
また,また
まだ,まだ
町,まち
待つ,まつ
まっすぐ,まっすぐ
マッチ,マッチ
窓,まど
丸い; 円い,まるい
万,まん
万年筆,まんねんひつ
磨く,みがく
右,みぎ
短い,みじかい
水,みず
店,みせ
見せる,みせる
道,みち
三日,みっか
三つ,みっつ
緑,みどり
皆さん,みなさん
南,みなみ
耳,みみ
見る,みる
みんな,みんな
六日,むいか
向こう,むこう
難しい,むずかしい
六つ,むっつ
村,むら
目,め
メートル,メートル
眼鏡,めがね
もう,もう
木曜日,もくようび
もしもし,もしもし
持つ,もつ
もっと,もっと
物,もの
門,もん
問題,もんだい
~屋,~や
八百屋,やおや
野菜,やさい
易しい,やさしい
安い,やすい
休み,やすみ
休む,やすむ
八つ,やっつ
山,やま
やる,やる
夕方,ゆうがた
夕飯,ゆうはん
郵便局,ゆうびんきょく
昨夜,ゆうべ
有名,ゆうめい
雪,ゆき
ゆっくりと,ゆっくりと
八日,ようか
洋服,ようふく
よく,よく
横,よこ
四日,よっか
四つ,よっつ
呼ぶ,よぶ
読む,よむ
夜,よる
弱い,よわい
来月,らいげつ
来週,らいしゅう
来年,らいねん
ラジオ,ラジオ
ラジオカセ,ラジオカセ
りっぱ,りっぱ
留学生,りゅうがくせい
両親,りょうしん
料理,りょうり
旅行,りょこう
零,れい
冷蔵庫,れいぞうこ
レコード,レコード
レストラン,レストラン
練習,れんしゅう (する)
廊下,ろうか
六,ろく
ワイシャツ,ワイシャツ
若い,わかい
分かる,わかる
忘れる,わすれる
私,わたし
私,わたくし
渡す,わたす
渡る,わたる
悪い,わるい
